team,home_games,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,home_goal_difference,home_points,away_games,away_wins,away_draws,away_losses,away_goals_for,away_goals_against,away_goal_difference,away_points
Leicester City,19,12,6,1,35,18,17,42,19,11,6,2,33,18,15,39
Manchester Utd,19,12,5,2,27,9,18,41,19,7,4,8,22,26,-4,25
Arsenal,19,12,4,3,31,11,20,40,19,8,7,4,34,25,9,31
Manchester City,19,12,2,5,47,21,26,38,19,7,7,5,24,20,4,28
Tottenham,19,10,6,3,35,15,20,36,19,9,7,3,34,20,14,34
Southampton,19,11,3,5,39,22,17,36,19,7,6,6,20,19,1,27
West Ham Utd,19,9,7,3,34,26,8,34,19,7,7,5,31,25,6,28
Liverpool,19,8,8,3,33,22,11,32,19,8,4,7,30,28,2,28
Swansea City,19,8,6,5,20,20,0,30,19,4,5,10,22,32,-10,17
Newcastle Utd,19,7,7,5,32,24,8,28,19,2,3,14,12,41,-29,9
Stoke City,19,8,4,7,22,24,-2,28,19,6,5,8,19,31,-12,23
Sunderland,19,6,6,7,23,20,3,24,19,3,6,10,25,42,-17,15
Chelsea,19,5,9,5,32,30,2,24,19,7,5,7,27,23,4,26
Watford,19,6,6,7,20,19,1,24,19,6,3,10,20,31,-11,21
Everton,19,6,5,8,35,30,5,23,19,5,9,5,24,25,-1,24
Norwich City,19,6,5,8,26,30,-4,23,19,3,2,14,13,37,-24,11
West Bromwich,19,6,5,8,20,26,-6,23,19,4,8,7,14,22,-8,20
Crystal Palace,19,6,3,10,19,23,-4,21,19,5,6,8,20,28,-8,21
Bournemouth,19,5,5,9,23,34,-11,20,19,6,4,9,22,33,-11,22
Aston Villa,19,2,5,12,14,35,-21,11,19,1,3,15,13,41,-28,6
